0	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
136	Who is Bulkington?	A quiet but dangerous sailor, whom Ishmael sees for the first time in the Spouter Inn. Later, Bulkington is Ishmael's shipmate on the whaling voyage.	

137	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
 68	0.57974	What is Captain Ahab's artificial leg made of?	Ivory	
 47	0.44944	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
  7	0.33610	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
139	0.33610	Who is Captain Peleg?	Retired whaleman of Nantucket.  Former chief-mate and later co-owner of the ship Pequod. He is an imposing, short- tempered, and foul-mouthed man.  Bildad and Peleg hire the crew.	
138	0.33610	Who is Captain Boomer?	One-armed English whaling captain; master of the Samuel Enderby	
 79	0.33610	What is the name of Ahab's harpooner?	Fedallah	
 80	0.33610	What is the name of Ahab's ship?	The Pequod	

138	Who is Captain Boomer?	One-armed English whaling captain; master of the Samuel Enderby	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
139	0.33610	Who is Captain Peleg?	Retired whaleman of Nantucket.  Former chief-mate and later co-owner of the ship Pequod. He is an imposing, short- tempered, and foul-mouthed man.  Bildad and Peleg hire the crew.	
 46	0.33518	What does Captain Boomer want to do since Moby Dick took his arm?	Avoid Moby Dick	
 68	0.22029	What is Captain Ahab's artificial leg made of?	Ivory	
 47	0.17579	What does Fedallah prophesize will kill Captain Ahab?	Hemp	

139	Who is Captain Peleg?	Retired whaleman of Nantucket.  Former chief-mate and later co-owner of the ship Pequod. He is an imposing, short- tempered, and foul-mouthed man.  Bildad and Peleg hire the crew.	
137	0.33610	Who is Captain Ahab?	The dark, brooding, peg-legged captain of the ship, the Pequod, and the protagonist of the novel. His entire motivation in the book is to find and kill Moby Dick, the whale that  caused him to lose his leg.	
138	0.33610	Who is Captain Boomer?	One-armed English whaling captain; master of the Samuel Enderby	
 68	0.22029	What is Captain Ahab's artificial leg made of?	Ivory	
 96	0.19431	What religious sect do Peleg and Bildad belong to?	Quakers	
 47	0.17579	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
 46	0.13379	What does Captain Boomer want to do since Moby Dick took his arm?	Avoid Moby Dick	

140	Who is Daggoo?	Third harpooner on the Pequod; described as 'a gigantic, coal-black negro-savage'	
109	0.30322	When Daggoo and a Spanish sailor start to fight, what stops them?	A storm	

141	Who is Elijah?	Shabbily dressed street prophet in New Bedford; warns of Captain Ahab as 'Old Thunder'	

142	Who is Father Mapple?	The chaplain (in New Bedford) who gives a moving sermon based on the Biblical story of Jonah and the whale in the Whalemen's chapel.	
163	0.57974	Who is the subject of Father Mapple's sermon?	Jonah	
124	0.44944	Which biblical figure is the focus of Father Mapple's sermon?	Jonah	
 77	0.41036	What is the biblical subject of Father Mapple's sermon at the Whaleman's Chapel?	Jonah	
  5	0.14143	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20

143	Who is Fedallah?	Strange, "oriental" old Parsee; Ahab's harpooner and personal prophet	
 27	0.57974	Out of what is Fedallah's turban made?	His hair	69
 69	0.57974	What is Fedallah's turban made of?	His own hair	
 44	0.30322	What does Ahab recognize as the "first hearse" of Fedallah's prophecy?	Fedallah lashed to Moby Dick	
 47	0.30322	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
  0	0.20976	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94

144	Who is Flask?	Third mate of the Pequod; from Martha's Vineyard	70
 70	0.57974	What is Flask's nickname?	King-Post	144

145	Who is Fleece?	The old Negro cook on the ship.  He has bad knees. Under Stubb's instructions, he preaches a sermon to the sharks hovering around the dead sperm whale, tied to the ship's side.	

146	Who is Gabriel?	The self-styled prophet on the ship, Jeroboam. He believes himself to be the incarnation of the Shaker God and influences all the crewmembers on board. He warns them of the White Whale.	
118	0.44944	When the crew encounter the crazed prophet Gabriel, what does Gabriel prophesize as Ahab's fate?	Dead and down there	

147	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 64	0.37998	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 82	0.37998	What is the name of Ishmael's unlikely roommate and bedfellow?	Queequeg	
 92	0.37998	What keeps Ishmael afloat after the Pequod sinks?	A coffin	
 71	0.33518	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	
 14	0.33518	How do live whales smell, according to Ishmael?	Pleasantly musky	2
180	0.33518	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22
 88	0.33518	What is the ship that rescues Ishmael at the end of the novel?	Rachel	

148	Who is Mayhew?	The captain of the Jeroboam, who had sighted and chased Moby Dick. Mayhew meets Ahab and tells him how the whale had killed his mate, Macey, during the chase.	

149	Who is Moby Dick?	A giant and elusive white sperm whale. He serves as Captain Ahab's antagonist in the novel. Ahab's goal in life is to kill Moby Dick for having bitten off his leg.	
 64	0.57974	What frightens Ishmael the most about Moby Dick?	The whiteness of the whale	
 78	0.57974	What is the famous first line of Moby Dick?	Call me Ishmael.	
125	0.44944	Which body part has Ahab lost to Moby Dick?	His leg	
107	0.41036	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
 43	0.41036	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	
 19	0.41036	How many of the Pequod's crew survive their encounter with Moby Dick?	One	128
 65	0.35548	What happens to Ahab's fake leg during his fight with Moby Dick?	It's snapped off	

150	Who is Mrs. Hosea Hussey?	The irate wife of the innkeeper at 'Try Pots', Nantucket. In the innkeeper's absence, she runs the affairs of the inn efficiently.	

151	Who is Peter Coffin?	The deathly-named innkeeper of the Spouter Inn at New Bedford.	
  4	0.31800	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 97	0.16171	What shape does the ship's carpenter make Quequeeq's coffin?	A canoe	
110	0.14143	When Queequeg decorates the coffin that he'd had made, what does he use for the decoration?	His own tattoos	

152	Who is Pip?	The cabin boy on the Pequod. He is a young Negro who is very nervous and quiet by temperament and loses his mind when he has been abandoned in the sea for awhile.  He becomes half idiot-half prophet.	
  9	0.47368	Because Pip's insane rantings move Ahab, Ahab gives Pip what?	The captain's quarters	63
 29	0.33518	Pip describes the doubloon on the mast as the ship's what?	Navel	45
 63	0.30322	What experience catalyzed Pip and Ahab's close companionship?	Pip's near-drowning	
 56	0.23077	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	

153	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
  4	0.47368	According to Peter Coffin, what is Queequeg out doing when Ishmael learns that Queequeg will be his roommate?	Selling shrunken heads	100
 39	0.44944	What covers Queequeg's skin?	Tattoos	153
 16	0.44944	How does Queequeg shave?	With a harpoon	178
178	0.44944	With what does Queequeg sleep?	His harpoon	16
 83	0.44944	What is the name of Queequeg's native island?	Kokovoko	
 23	0.44944	Ishmael decides he likes the fact that Queequeg is a pagan because Queequeg lacks a Christian's what?	Hollow courtesies	153
 30	0.44944	Queequeg is a native of what island?	Kokovoko	83

154	Who is Radney?	The wicked and unjust mate on the Town-Ho. He is punished as though by divine providence when Moby Dick kills him.	

155	Who is Starbuck?	A Quaker from Nantucket who serves as the first mate to the captain on the Pequod. He is an intelligent and brave officer who lives his life by Christian principles.	
113	0.33518	When Starbuck sees a row of muskets, what does he consider doing?	Killing Ahab	
103	0.21951	When Ahab and Starbuck talk about their families, how does Ahab see himself on his relentless quest?	A pathetic fool(Correct)	
112	0.19360	When Starbuck confronts Ahab about leaking oil barrels that are costing the crew profit, how does Ahab respond?	Points a gun at Starbuck	

156	Who is Steel Kit?	The popular sailor on Town-Ho who leads a mutiny on board. He secretly plans to kill Radney, the most hated mate on the Town-Ho.	

157	Who is Stubb?	Second mate of the Pequod; from Cape Cod	3
  3	0.24396	According to Ishmael, who are the only people besides Stubb that still eat whale meat?	The Eskimos	14

158	Who is Tashtego?	Stubb's harpooner; craves rum	165
114	0.37998	When Tashtego nearly drowns, what is he trapped in?	A whale's head	
165	0.27894	Who rescues Tashtego when he falls overboard inside the whale's head?	Queequeg	

159	Who is telling the story in the novel?	Ishmael	71
 87	0.26056	What is the name of the ship in the story?	The Pequod	
 88	0.15064	What is the ship that rescues Ishmael at the end of the novel?	Rachel	
 71	0.15064	What is Ishmael constantly trying to pin down throughout the novel?	The essence of whales	
 94	0.10964	What real ship, attacked and sunk by a sperm whale, inspired Melville's story?	The Essex	

160	Who is the harpooner that Queequeq rescues?	Tashtego	
 79	0.26056	What is the name of Ahab's harpooner?	Fedallah	
 37	0.17078	What causes Ahab's harpoon to flicker with fire?	Atmospheric static	79
134	0.15064	Who is Ahab's personal harpooner and spiritual guide?	Fedallah	
 88	0.15064	What is the ship that rescues Ishmael at the end of the novel?	Rachel	
165	0.12537	Who rescues Tashtego when he falls overboard inside the whale's head?	Queequeg	
 34	0.12537	There once was a time when the "specksynder" or chief harpooner served as what?	The captain of the vessel	73
 91	0.10964	What is the term for a whale that has already been harpooned or marked by the crew of a specific ship?	Fast-fish	

161	Who is the only crewmate who opposes Ahab's plan to devote the ship's mission to hunt the White Whale?	Starbuck	
  7	0.31800	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.31800	What is the name of Ahab's ship?	The Pequod	
 12	0.22555	For what were whales primarily hunted?	Oil	98
 98	0.22555	What type of whale are they hunting?	Sperm whales	
170	0.15974	Why are whaling ships always well-lit?	Free access to oil	
117	0.15974	When the Pequod meets other sips, what is Ahab's only interest?	Information about Moby Dick	
  0	0.15547	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94

162	Who is the second mate on the Pequod?	Stubb	
 36	0.70930	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
 84	0.70930	What is the name of the Second Mate?	Stubb	
 33	0.44944	The name of the First Mate is?	Starbuck	85
 76	0.44944	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
 85	0.44944	What is the name of the Third Mate?	Flask	
164	0.44944	Who owns the Pequod?	Bildad and Peleg	
179	0.26056	With what is the Pequod adorned?	Sperm whale teeth	18

163	Who is the subject of Father Mapple's sermon?	Jonah	
 77	0.63481	What is the biblical subject of Father Mapple's sermon at the Whaleman's Chapel?	Jonah	
142	0.57974	Who is Father Mapple?	The chaplain (in New Bedford) who gives a moving sermon based on the Biblical story of Jonah and the whale in the Whalemen's chapel.	
124	0.45018	Which biblical figure is the focus of Father Mapple's sermon?	Jonah	
  5	0.09270	After his father's death, where was thirteen-year-old Herman Melville forced to find work?	At a bank	20

164	Who owns the Pequod?	Bildad and Peleg	
 76	1.00000	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
 36	0.57974	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
179	0.57974	With what is the Pequod adorned?	Sperm whale teeth	18
 18	0.57974	How is the Pequod decorated?	With whale bones	179
162	0.44944	Who is the second mate on the Pequod?	Stubb	
 17	0.44944	How does the Pequod sink?	She is rammed by Moby Dick. 	92
128	0.37998	Which characters survive the Pequod's sinking?	Only Ishmael	

165	Who rescues Tashtego when he falls overboard inside the whale's head?	Queequeg	
158	0.27894	Who is Tashtego?	Stubb's harpooner; craves rum	165
  0	0.20062	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
126	0.18443	Which character falls overboard and goes insane as a result?	Pip	
 90	0.16171	What is the study of whales called?	Cetology	
 56	0.14012	What does Pip do the first time he goes out whaling and a whale bumps the bottom of the boat?	Jumps out in fear	
 51	0.13754	What does Ishmael compare to the huge case of high-quality oil in a sperm whale's head?	A massive wine barrel	
 12	0.12537	For what were whales primarily hunted?	Oil	98

166	Who says the following: "If man will strike, strike through the mask! . . . That inscrutable thing is chiefly what I hate."	Ahab	
168	0.11887	Who says the following: "Vengeance on a dumb brute! That simply smote thee from blindest instinct! Madness! To be enraged with a dumb thing seems blasphemous."	Starbuck	
167	0.08458	Who says the following: "Though it come to the last, I shall still go before thee thy pilot . . . . Hemp only can kill thee."	Fedallah	
129	0.07030	Which member of the crew is a religious Christian man?	Starbuck	
 43	0.05851	What does Ahab promise to the first man who spots Moby Dick?	A gold doubloon	
107	0.05851	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
 31	0.05447	The crew believes that they saw mermaids in the night, but Ahab says that there were actually what?	Seals	112

167	Who says the following: "Though it come to the last, I shall still go before thee thy pilot . . . . Hemp only can kill thee."	Fedallah	
168	0.15472	Who says the following: "Vengeance on a dumb brute! That simply smote thee from blindest instinct! Madness! To be enraged with a dumb thing seems blasphemous."	Starbuck	
166	0.08458	Who says the following: "If man will strike, strike through the mask! . . . That inscrutable thing is chiefly what I hate."	Ahab	
130	0.07357	Which was the first team to kill a whale?	Stubb and Tashtego	
117	0.06489	When the Pequod meets other sips, what is Ahab's only interest?	Information about Moby Dick	
 40	0.05870	What do the crew find in an old, blind, growth-covered whale that they kill?	A stone harpoon head	59
 47	0.05870	What does Fedallah prophesize will kill Captain Ahab?	Hemp	
 86	0.05870	What is the name of the inn Ishmael stays at on the mainland before the voyage?	The Spouter Inn	

168	Who says the following: "Vengeance on a dumb brute! That simply smote thee from blindest instinct! Madness! To be enraged with a dumb thing seems blasphemous."	Starbuck	
167	0.15472	Who says the following: "Though it come to the last, I shall still go before thee thy pilot . . . . Hemp only can kill thee."	Fedallah	
166	0.11887	Who says the following: "If man will strike, strike through the mask! . . . That inscrutable thing is chiefly what I hate."	Ahab	
107	0.04885	When Ahab realizes that Moby Dick is now chasing him, what does he say?	That's bad	
 31	0.04548	The crew believes that they saw mermaids in the night, but Ahab says that there were actually what?	Seals	112

169	Who wins the doubloon from the mast?	Ahab	
 29	0.35630	Pip describes the doubloon on the mast as the ship's what?	Navel	45
 45	0.29107	What does Ahab see when he studies the gold doubloon nailed to the mast?	Himself	
 75	0.26056	What is the "doubloon" offered for?	The first man to spot Moby Dick	
106	0.10964	When Ahab insists on climbing the mast to be the first to see Moby Dick, what happens to his hat?	A hawk steals it	
 42	0.08701	What does Ahab nail to the ship's mast to motivate his crew in his quest for Moby Dick?	A gold coin	106

170	Why are whaling ships always well-lit?	Free access to oil	
  0	0.35909	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
177	0.22576	Why is the whale-line so dangerous once it is attached to a whale?	People can get tangled	174
175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
122	0.22576	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
  6	0.20614	After the whale carcass is cut loose from the ship, who are the "mourners" at its "funeral?"	Sharks and vultures	0
  7	0.19431	After what is Ahab's ship named?	An extinct Native American tribe in Massachusetts	80
 80	0.19431	What is the name of Ahab's ship?	The Pequod	

171	Why does Ishmael claim that Nantucket has the largest empire in the world?	It owns the seas	
 50	0.29527	What does Ishmael claim is the most famous part of a whale?	Its tail	
175	0.26056	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
147	0.24396	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
174	0.21693	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
 49	0.21693	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	
173	0.21693	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
172	0.20199	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175

172	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175
175	0.38082	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 50	0.29527	What does Ishmael claim is the most famous part of a whale?	Its tail	
122	0.26056	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
147	0.24396	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.23577	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
174	0.21693	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
 49	0.21693	What does Ishmael claim is the major difference between male and female whales?	Males abandon injured comrades	

173	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
175	0.41121	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
174	0.33610	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
147	0.25970	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 54	0.25321	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
 38	0.23298	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175
172	0.21693	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175
171	0.21693	Why does Ishmael claim that Nantucket has the largest empire in the world?	It owns the seas	

174	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
175	0.41121	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
173	0.33610	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
147	0.25970	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 52	0.25321	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 54	0.25321	What does Ishmael think men and animals should be judged on, rather than their brains?	Their spines	
 38	0.23298	What color does Ishmael think is horrible, unnatural and threatening when on an animal?	White	175
172	0.21693	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175

175	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
173	0.41121	Why does Ishmael think that he doesn't keep a very good watch?	He daydreams too much	174
174	0.41121	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
 50	0.38087	What does Ishmael claim is the most famous part of a whale?	Its tail	
172	0.38082	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175
 48	0.35630	What does Ishmael call the mysterious spout of water that leads the crew onward, but never turns into a whale?	Spirt-spout	
122	0.33610	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	
 52	0.30413	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	

176	Why is the Pequod unable to pursue the "Grand Armada" of sperm whales that they encounter near Sunda?	Malaysian Pirates appear	182
181	0.31017	What happened when the Pequod neared Sunda? ?	Malaysian Pirates scared them away from the hunting grounds.	
 76	0.21951	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.21951	Who owns the Pequod?	Bildad and Peleg	
  0	0.21833	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
170	0.15974	Why are whaling ships always well-lit?	Free access to oil	
102	0.15974	What was the sperm whale most highly prized for?	Spermaceti and sperm oil, used as lamp oil, among other uses	
177	0.14292	Why is the whale-line so dangerous once it is attached to a whale?	People can get tangled	174

177	Why is the whale-line so dangerous once it is attached to a whale?	People can get tangled	174
170	0.22576	Why are whaling ships always well-lit?	Free access to oil	
  0	0.21973	According to Fedallah, why should you hang a sperm whale's head on one side of a ship and a right whale's on the other?	Your boat won't capsize	94
175	0.20199	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
 52	0.18443	What does Ishmael decide he needs to do after seeing how dangerous a whale hunt can be?	Rewrite his will	
 90	0.17579	What is the study of whales called?	Cetology	
174	0.17078	Why does Ishmael think that the natural dangers of the sea are so insidious?	So much is hidden	175
172	0.15976	Why does Ishmael find it odd that the French have been most successful in representing whales in art?	France doesn't hunt whales	175

178	With what does Queequeg sleep?	His harpoon	16
 16	0.50310	How does Queequeg shave?	With a harpoon	178
153	0.44944	Who is Queequeg?	A native of Kokovoko in the Fiji islands and an expert harpooner. Despite his religion and customs, he is able to develop a bond with Ishmael. Queequeg accompanies Ishmael on the whaling voyage to the Pacific and dies when the ship sinks.	
111	0.41121	When Queequeg falls ill, what does he do?	Have his coffin made	
 22	0.35630	In what state does Ishmael meet Queequeg?	Massachusetts	4
 15	0.29107	How does Queequeg impress the men hiring the crew for the Pequod?	Harpooning a tiny target	16
 57	0.29107	What does Queequeg do when the bumpkin that was mocking him falls into the ocean?	Dives in after him	
110	0.25214	When Queequeg decorates the coffin that he'd had made, what does he use for the decoration?	His own tattoos	

179	With what is the Pequod adorned?	Sperm whale teeth	18
 76	0.57974	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.57974	Who owns the Pequod?	Bildad and Peleg	
 36	0.33610	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
 18	0.33610	How is the Pequod decorated?	With whale bones	179
162	0.26056	Who is the second mate on the Pequod?	Stubb	
 17	0.26056	How does the Pequod sink?	She is rammed by Moby Dick. 	92
128	0.22029	Which characters survive the Pequod's sinking?	Only Ishmael	

180	With whom does Ishmael share a bed at the Spouter-Inn?	Queequeg	22
147	0.33518	Who is Ishmael?	The narrator of the novel and the only sailor to survive from the Pequod. He tells the entire story and actively participates in the drama that unfolds on Captain Ahab's whaling ship.	
 22	0.25233	In what state does Ishmael meet Queequeg?	Massachusetts	4
 50	0.25233	What does Ishmael claim is the most famous part of a whale?	Its tail	
 53	0.25233	What does Ishmael have tattooed on his forearm?	The dimensions of a whale	
 55	0.25233	What does Ishmael use as a life buoy?	Queequeg's coffin	
175	0.22576	Why does Ishmael think whales are so mysterious?	They're always mostly hidden	174
122	0.22576	Where does Ishmael want to go to find a berth on a whaling ship?	Nantucket	

181	What happened when the Pequod neared Sunda? ?	Malaysian Pirates scared them away from the hunting grounds.	
 76	0.37998	What is the Pequod named after?	An extinct Massachusetts Indian tribe	
164	0.37998	Who owns the Pequod?	Bildad and Peleg	
176	0.31017	Why is the Pequod unable to pursue the "Grand Armada" of sperm whales that they encounter near Sunda?	Malaysian Pirates appear	182
 36	0.22029	What are the mates' names on the Pequod?	Starbuck, Stubbs, Flask	162
179	0.22029	With what is the Pequod adorned?	Sperm whale teeth	18
 18	0.22029	How is the Pequod decorated?	With whale bones	179
162	0.17078	Who is the second mate on the Pequod?	Stubb	

182	What do whales eat?	Plankton and other brit.  66	What is "brit"?	Tiny sea creatures that whales eat

